House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
108,Austin Divide,Thomas,Ward,39,Head,Married,Male,Geographical information systems officer,None,None
108,Austin Divide,Nicole,Ward,37,Wife,Married,Female,Unemployed,None,None
109,Austin Divide,Tony,Wilkins,42,Head,Divorced,Male,Insurance claims handler,None,None
110,Austin Divide,Charlie,Cook,33,Head,Single,Male,Naval architect,None,Christian
110,Austin Divide,Linda,Turner,28,Partner,Single,Female,Customer service manager,None,Christian
110,Austin Divide,Lauren,White,27,Lodger,Single,Female,Pension scheme manager,None,None
110,Austin Divide,Ryan,Simpson,24,Lodger,Divorced,Male,Set designer,None,Christian
111,Austin Divide,Carly,Mills,68,Head,Married,Female,Retired Ophthalmologist,None,Christian
111,Austin Divide,Declan,Mills,73,Husband,Married,Male,"Retired Production assistant, television",None,Christian
112,Austin Divide,Donna,Matthews,26,Head,Single,Female,Licensed conveyancer,None,None
113,Austin Divide,Lindsey,Hughes,61,Head,Divorced,Female,"Investment banker, corporate",None,Methodist
114,Austin Divide,Martyn,Murray,57,Head,Single,Male,Heritage manager,None,None
114,Austin Divide,Leah,Davies,55,Partner,Single,Female,Geophysicist/field seismologist,None,None
115,Austin Divide,Sharon,Goddard,83,Head,Single,Female,Retired Restaurant manager,None,None
116,Austin Divide,Janice,Harrison,74,Head,Widowed,Female,"Retired Chemist, analytical",None,Methodist
117,Austin Divide,Ashleigh,Ashton,70,Head,Widowed,Female,Retired Radio producer,None,Catholic
118,Austin Divide,Olivia,Evans,74,Head,Widowed,Female,Retired Quarry manager,None,Christian
119,Austin Divide,Leon,Johnston,44,Head,Divorced,Male,Artist,None,Christian
120,Austin Divide,Leah,Johnson,55,Head,Single,Female,Legal executive,None,Christian
121,Austin Divide,Mary,O'Neill,75,Head,Widowed,Female,Retired Office manager,None,Christian
122,Austin Divide,Gary,Baxter,102,Head,Divorced,Male,Retired Politician's assistant,None,Christian
123,Austin Divide,Nigel,Morris,50,Head,Single,Male,Charity fundraiser,None,Catholic
123,Austin Divide,Martin,Cole,49,None,Single,Male,Media planner,None,Catholic
123,Austin Divide,Leon,Allen,18,None,Widowed,Male,Student,None,NA
124,Austin Divide,Grace,Reid,46,Head,Single,Female,Unemployed,None,None
124,Austin Divide,Edward,Reid,11,Son,NA,Male,Student,None,NA
125,Austin Divide,Ronald,Hughes,73,Head,Widowed,Male,Retired Community pharmacist,None,Christian
126,Austin Divide,Reece,Williams,44,Head,Single,Male,Dispensing optician,Disabled,None
127,Austin Divide,Jean,Hughes,69,Head,Widowed,Female,Retired Music tutor,None,None
128,Austin Divide,Hannah,Price,44,Head,Married,Female,Broadcast engineer,None,Christian
128,Austin Divide,Jacob,Price,47,Husband,Married,Male,Academic librarian,None,Christian
129,Austin Divide,Hugh,Lewis,39,Head,Single,Male,Audiological scientist,None,Christian
130,Austin Divide,Alan,O'Neill,39,Head,Single,Male,Sports therapist,None,None
130,Austin Divide,Dawn,Cooper,34,Partner,Single,Female,Chiropractor,None,None
131,Austin Divide,Martyn,Oliver,90,Head,Widowed,Male,Retired Dance movement psychotherapist,None,Christian
132,Austin Divide,Alan,Mann,57,Head,Single,Male,Proofreader,None,Christian
133,Austin Divide,Roger,White,66,Head,Married,Male,Facilities manager,None,Christian
133,Austin Divide,Carol,White,70,Wife,Married,Female,"Retired Engineer, structural",None,Christian
134,Austin Divide,Anna,Brown,68,Head,Widowed,Female,Retired Meteorologist,None,Christian
135,Austin Divide,Rhys,Barnett,35,Head,Married,Male,Health and safety adviser,None,Christian
135,Austin Divide,Lisa,Barnett,32,Wife,Married,Female,Emergency planning/management officer,None,None
136,Austin Divide,Harry,Walker,49,Head,Divorced,Male,Consulting civil engineer,None,Methodist
137,Austin Divide,Stanley,Clarke,19,Head,Single,Male,University Student,None,Catholic
138,Austin Divide,Valerie,Kelly,86,Head,Widowed,Female,"Retired Scientist, clinical (histocompatibility and immunogenetics)",None,Christian
139,Austin Divide,Paula,Hope,82,Head,Married,Female,Retired Structural engineer,None,Christian
139,Austin Divide,Justin,Hope,82,Husband,Married,Male,Retired Financial risk analyst,None,Christian
140,Austin Divide,Julia,Lucas,73,Head,Widowed,Female,Retired Tour manager,None,Christian
141,Austin Divide,Tina,Stephenson,30,Head,Married,Female,"Education officer, environmental",None,Christian
141,Austin Divide,Roger,Stephenson,35,Husband,Married,Male,Chiropractor,None,Christian
142,Austin Divide,Christian,Morris,26,Head,Divorced,Male,Unemployed,None,None
142,Austin Divide,Ian,Morris,7,Son,NA,Male,Student,None,NA
143,Austin Divide,Lawrence,Swift,70,Head,Widowed,Male,Retired Armed forces training and education officer,None,None
144,Austin Divide,Joshua,Mason,58,Head,Divorced,Male,Contractor,None,Christian
145,Austin Divide,Neil,Williams,53,Head,Married,Male,Emergency planning/management officer,None,None
145,Austin Divide,Stephanie,Williams,51,Wife,Married,Female,"Surveyor, rural practice",None,None
146,Austin Divide,Michael,Hill,55,Head,Single,Male,"Nurse, children's",None,None
147,Austin Divide,Denis,McLean,69,Head,Widowed,Male,Retired Food technologist,None,Sikh
148,Austin Divide,Melissa,Morgan,37,Head,Single,Female,"Geneticist, molecular",None,None
148,Austin Divide,Gerald,Willis,39,Partner,Single,Male,Metallurgist,None,None
148,Austin Divide,Alan,Morgan,3,Son,NA,Male,Child,None,NA
149,Austin Divide,Judith,McDonald,41,Head,Married,Female,"Conservation officer, nature",None,Muslim
149,Austin Divide,Denis,McDonald,40,Husband,Married,Male,"Administrator, local government",None,Muslim
149,Austin Divide,Eileen,McDonald,4,Daughter,NA,Female,Child,None,NA
150,Austin Divide,Rosie,Allen,65,Head,Widowed,Female,"Therapist, sports",None,None
150,Austin Divide,Joanne,Allen,42,Daughter,Single,Female,Chief of Staff,None,None
151,Austin Divide,Malcolm,Stone,38,Head,Married,Male,Insurance underwriter,None,Christian
151,Austin Divide,Fiona,Stone,36,Wife,Married,Female,Comptroller,None,Christian
152,Austin Divide,Lauren,Evans,30, ,Single,Female,Graphic designer,None,Catholic
152,Austin Divide,Oliver,Kennedy,33,Partner,Single,Male,Forest/woodland manager,None,None
153,Austin Divide,Leigh,Pearson,55,Head,Single,Male,Unemployed,None,None
154,Austin Divide,Roger,Davidson,39,Head,Divorced,Male,Museum/gallery exhibitions officer,None,Christian
155,Austin Divide,Eileen,Robinson,35,Head,Single,Female,Podiatrist,None,Catholic
156,Austin Divide,Thomas,Ball,34,Head,Single,Male,Production engineer,None,None
157,Austin Divide,Antony,Booth,49,Head,Single,Male,Oncologist,None,None
158,Austin Divide,Jane,Gallagher,60,Head,Single,Female,Tax inspector,None,None
159,Austin Divide,Clare,Davis,64,Head,Single,Female,Secondary school teacher,None,Muslim
160,Austin Divide,Declan,Wright,25,Head,Married,Male,Purchasing manager,None,None
160,Austin Divide,Lorraine,Wright,23,Wife,Married,Female,Artist,None,None
161,Austin Divide,Cameron,Osborne,55,Head,Single,Male,Naval architect,None,Catholic
161,Austin Divide,Clare,Gill,6,Granddaughter,NA,Female,Student,None,NA
162,Austin Divide,Jade,Stanley,39,Head,Divorced,Female,Hotel manager,None,None
162,Austin Divide,Denise,Stanley,5,Daughter,NA,Female,Student,None,NA
162,Austin Divide,Eileen,Stanley,3,Daughter,NA,Female,Child,None,NA
163,Austin Divide,Dorothy,Simpson,82,Head,Widowed,Female,"Retired Engineer, structural",None,Christian
164,Austin Divide,Sharon,Daniels,72,Head,Widowed,Female,Retired Haematologist,None,Methodist
165,Austin Divide,Carol,Rowe,27,Head,Single,Female,Licensed conveyancer,None,None
166,Austin Divide,Denise,Watson,72,Head,Divorced,Female,Retired Fitness centre manager,None,Christian
167,Austin Divide,Natasha,Scott,36,Head,Single,Female,"Scientist, water quality",None,None
168,Austin Divide,Mathew,Young,27,Head,Married,Male,Illustrator,None,None
168,Austin Divide,Jane,Young,28,Wife,Married,Female,Building services engineer,None,None
169,Austin Divide,Zoe,Ball,81,Head,Married,Female,Retired Private music teacher,None,None
169,Austin Divide,Kirsty,Ball,84,Wife,Married,Female,Retired Equality and diversity officer,None,None
170,Austin Divide,Katherine,Thomas,79,Head,Widowed,Female,Retired Television/film/video producer,None,Christian
171,Austin Divide,Francis,Hopkins,34,Head,Single,Male,Adult nurse,None,None
172,Austin Divide,Conor,Parry,59,Head,Single,Male,Computer games developer,None,Christian
172,Austin Divide,Nicholas,Miller,42,None,Single,Male,"Horticulturist, amenity",None,None
172,Austin Divide,Nicole,Jones,53,None,Single,Female,Public relations account executive,None,None
173,Austin Divide,Norman,Riley,55,Head,Married,Male,Drilling engineer,None,Christian
173,Austin Divide,Laura,Riley,59,Wife,Married,Female,Medical technical officer,None,Christian
173,Austin Divide,Darren,Riley,20,Son,Single,Male,"Scientist, biomedical",None,Methodist
174,Austin Divide,Yvonne,Jones,54,Head,Divorced,Female,Art therapist,None,Christian
174,Austin Divide,Maria,Jones,66,Cousin,Single,Female,Education administrator,None,None
175,Austin Divide,Kelly,Hilton,44,Head,Divorced,Female,Magazine journalist,None,Methodist
176,Austin Divide,Susan,Walker,37,Head,Single,Female,"Engineer, maintenance (IT)",None,Christian
177,Austin Divide,Stanley,Jones,52,Head,Single,Male,"Scientist, water quality",None,Methodist
178,Austin Divide,Aimee,Stevens,30,Head,Single,Female,Forest/woodland manager,None,Christian
178,Austin Divide,Scott,Black,32,Partner,Single,Male,Set designer,None,Christian
178,Austin Divide,Shaun,White,32,Lodger,Single,Male,"Copywriter, advertising",None,Christian
179,Austin Divide,Francis,Jenkins,23,Head,Single,Male,Lawyer,None,Catholic
180,Austin Divide,Kieran,White,27,Head,Single,Male,Science writer,None,Catholic
181,Austin Divide,Chelsea,Simpson,79,Head,Widowed,Female,Retired Pharmacologist,None,Christian
182,Austin Divide,Sarah,Mitchell,31,Head,Single,Female,Unemployed,None,None
182,Austin Divide,Suzanne,Cooper,3,Daughter,NA,Female,Child,None,NA
183,Austin Divide,Brandon,Cooper,59,Head,Single,Male,"Nurse, learning disability",None,Catholic
183,Austin Divide,Paige,Cooper,30,Daughter,Divorced,Female,Osteopath,None,Catholic
184,Austin Divide,Suzanne,Taylor,84,Head,Divorced,Female,Retired Educational psychologist,None,Catholic
185,Austin Divide,Julie,Taylor,76,Head,Married,Female,Retired Secondary school teacher,None,Methodist
185,Austin Divide,Gerald,Taylor,83,Husband,Married,Male,Retired Theatre director,None,Methodist
186,Austin Divide,Leanne,Stevenson,41,Head,Single,Female,Speech and language therapist,None,None
186,Austin Divide,Terence,Moore,42,Partner,Single,Male,"Conservation officer, historic buildings",None,None
187,Austin Divide,Cameron,Brooks,64,Head,Single,Male,Biomedical engineer,None,None
187,Austin Divide,Ian,Jones,57,None,Single,Male,Unemployed,None,None
187,Austin Divide,Donald,Saunders,23,None,Single,Male,Financial risk analyst,None,Methodist
188,Austin Divide,Paula,Hawkins,51,Head,Married,Female,"Librarian, public",None,None
188,Austin Divide,Matthew,Hawkins,55,Husband,Married,Male,Unemployed,None,None
188,Austin Divide,Richard,Hawkins,20,Son,Single,Male,University Student,None,None
189,Austin Divide,Ricky,Wood,58,Head,Married,Male,Dance movement psychotherapist,None,Christian
189,Austin Divide,Francesca,Wood,56,Wife,Married,Female,Retail manager,None,Christian
189,Austin Divide,Roy,Wood,7,Grandson,NA,Male,Student,None,NA
189,Austin Divide,Christine,Wood,5,Granddaughter,NA,Female,Student,None,NA
190,Austin Divide,Nicole,White,48,Head,Single,Female,"Engineer, site",None,Catholic
191,Austin Divide,Mary,Briggs,41,Head,Single,Female,Unemployed,None,None
191,Austin Divide,Debra,Briggs,12,Daughter,NA,Female,Student,None,NA
192,Austin Divide,Diane,Burrows,43,Head,Married,Female,Clinical biochemist,None,None
192,Austin Divide,Gerald,Burrows,44,Husband,Married,Male,Warehouse manager,None,None
192,Austin Divide,Molly,Burrows,18,Daughter,Single,Female,Student,None,None
193,Austin Divide,Hannah,Price,39,Head,Married,Female,Industrial/product designer,None,None
193,Austin Divide,Leonard,Price,42,Husband,Married,Male,Chief Strategy Officer,None,None
193,Austin Divide,Christopher,Price,3,Son,NA,Male,Child,None,NA
194,Austin Divide,Brian,Hill,75,Head,Divorced,Male,Retired Facilities manager,None,None
195,Austin Divide,Eleanor,Smith,27,Head,Divorced,Female,Minerals surveyor,None,Christian
196,Austin Divide,Graeme,Birch,25,Head,Single,Male,General practice doctor,None,None
197,Austin Divide,Debra,Hutchinson,49,Head,Single,Female,Restaurant manager,None,Catholic
198,Austin Divide,Gail,Harrison,73,Head,Widowed,Female,"Retired Nurse, learning disability",None,Christian
199,Austin Divide,Mohammad,Smith,45,Head,Single,Male,"Designer, textile",None,Catholic
200,Austin Divide,Bruce,Steele,25,Head,Single,Male,Television production assistant,None,Catholic
200,Austin Divide,Samantha,Brown,21,Partner,Single,Female,University Student,None,Catholic
201,Austin Divide,Roger,Hunt-Wilkins,73,Head,Married,Male,Retired IT sales professional,None,None
201,Austin Divide,Lisa,Hunt-Wilkins,68,Wife,Married,Female,Retired Oceanographer,None,None
202,Austin Divide,Vincent,Briggs,65,Head,Widowed,Male,Brewing technologist,None,None
203,Austin Divide,Paula,Scott,80,Head,Widowed,Female,"Retired Designer, television/film set",None,None
204,Austin Divide,Toby,Thompson,66,Head,Widowed,Male,"Production assistant, television",None,Christian
205,Austin Divide,Andrew,Johnson,31,Head,Single,Male,"Designer, industrial/product",None,None
206,Austin Divide,Craig,Lewis,73,Head,Widowed,Male,Retired Publishing rights manager,None,Christian
1,Ambrosia Walks,Lisa,Hanson,35,Head,Single,Female,"Lighting technician, broadcasting/film/video",None,Catholic
1,Ambrosia Walks,Victor,Powell,37,Partner,Single,Male,"Horticulturist, commercial",None,None
1,Ambrosia Walks,Dominic,Hanson,2,Son,NA,Male,Child,None,NA
1,Ambrosia Walks,Peter,Hanson,1,Son,NA,Male,Child,None,NA
2,Ambrosia Walks,Jenna,Sims,59,Head,Married,Female,Television production assistant,None,Christian
2,Ambrosia Walks,Denis,Sims,65,Husband,Married,Male,Comptroller,None,Christian
3,Ambrosia Walks,Andrea,Reeves,60,Head,Married,Female,"Engineer, electrical",None,Christian
3,Ambrosia Walks,Roger,Reeves,61,Husband,Married,Male,Town planner,None,Christian
3,Ambrosia Walks,Gary,Frost-Reeves,12,Grandson,NA,Male,Student,None,NA
4,Ambrosia Walks,Mohamed,Stevenson,53,Head,Single,Male,Structural engineer,None,Catholic
5,Ambrosia Walks,Dylan,Dean,19,Head,Divorced,Male,University Student,None,Christian
6,Ambrosia Walks,Christian,Hewitt,76,Head,Widowed,Male,Retired Civil Service administrator,None,Muslim
7,Ambrosia Walks,Samuel,French,86,Head,Widowed,Male,Retired Lobbyist,None,Christian
8,Ambrosia Walks,Sandra,Doyle,60,Head,Single,Female,Chartered certified accountant,None,Christian
9,Ambrosia Walks,Dylan,Reid,38,Head,Single,Male,"Editor, film/video",None,None
9,Ambrosia Walks,Heather,Boyle,39,Partner,Single,Female,Archaeologist,None,None
10,Ambrosia Walks,Ricky,Connor,104,Head,Widowed,Male,"Retired Designer, interior/spatial",None,None
11,Ambrosia Walks,Wendy,Hill,32,Head,Married,Female,Unemployed,None,Sikh
11,Ambrosia Walks,John,Hill,32,Husband,Married,Male,Set designer,None,Sikh
11,Ambrosia Walks,Ruth,Hill,7,Daughter,NA,Female,Student,None,NA
12,Ambrosia Walks,Joyce,Mistry,87,Head,Widowed,Female,Retired Occupational psychologist,None,Methodist
13,Ambrosia Walks,Anthony,Day,31,Head,Single,Male,Risk manager,None,None
14,Ambrosia Walks,Beth,Richards,34,Head,Divorced,Female,Magazine journalist,None,Methodist
14,Ambrosia Walks,Dale,Richards,1,Son,NA,Male,Child,None,NA
14,Ambrosia Walks,Jodie,Preston,39,Lodger,Single,Female,Retail buyer,None,None
15,Ambrosia Walks,Christian,Khan,32,Head,Married,Male,Psychotherapist,None,None
15,Ambrosia Walks,Jane,Khan,27,Wife,Married,Female,"Surveyor, commercial/residential",None,None
15,Ambrosia Walks,Shane,Lee,28,Lodger,Divorced,Male,Counselling psychologist,None,None
16,Ambrosia Walks,Anna,Oliver,60,Head,Married,Female,Health and safety inspector,None,Christian
16,Ambrosia Walks,Roger,Oliver,61,Husband,Married,Male,Logistics and distribution manager,None,Christian
17,Ambrosia Walks,Leah,Gough,70,Head,Widowed,Female,"Retired Engineer, maintenance",None,Christian
18,Ambrosia Walks,Jay,Davey,75,Head,Widowed,Male,Retired Secretary/administrator,None,Christian
19,Ambrosia Walks,Samantha,Patel,65,Head,Widowed,Female,"Psychotherapist, child",None,Methodist
20,Ambrosia Walks,Keith,Palmer,66,Head,Divorced,Male,"Journalist, broadcasting",None,None
21,Ambrosia Walks,Marc,Moran,63,Head,Single,Male,Unemployed,None,None
21,Ambrosia Walks,Joan,Moran,36,Daughter,Single,Female,Health and safety inspector,None,None
22,Ambrosia Walks,Carolyn,Pearce,63,Head,Single,Female,"Therapist, sports",None,Christian
23,Ambrosia Walks,Brian,Edwards,89,Head,Widowed,Male,Retired Podiatrist,None,Christian
24,Ambrosia Walks,Daniel,Cook,55,Head,Married,Male,"Social research officer, government",None,Christian
24,Ambrosia Walks,Margaret,Cook,48,Wife,Married,Female,Land/geomatics surveyor,None,Christian
25,Ambrosia Walks,Leslie,Baker,72,Head,Married,Male,Retired Learning disability nurse,None,Christian
25,Ambrosia Walks,Emily,Baker,75,Wife,Married,Female,"Retired Psychologist, forensic",None,Christian
26,Ambrosia Walks,Dale,Lowe,53,Head,Single,Male,"Surveyor, building control",None,Christian
27,Ambrosia Walks,Daniel,Cox,40,Head,Divorced,Male,Dance movement psychotherapist,None,None
28,Ambrosia Walks,Hilary,Rhodes,46,Head,Married,Female,Customer service manager,None,None
28,Ambrosia Walks,Matthew,Rhodes,51,Husband,Married,Male,"Therapist, sports",None,None
28,Ambrosia Walks,Christian,Rhodes,14,Son,NA,Male,Student,None,NA
